instance n700m12E n=700 m=12 start cost 50658 (greedy) mode=ils
[n700m12E] t=5.0 iter=2663 acc=1740 impr=70 cur=14982 best=14897 T=42.44 evals=97946576
[n700m12E] t=10.0 iter=5560 acc=3612 impr=92 cur=14111 best=13980 T=38.40 evals=203422105
[n700m12E] t=15.0 iter=9691 acc=6289 impr=107 cur=13863 best=13774 T=34.75 evals=351880351
[n700m12E] t=20.0 iter=13127 acc=8475 impr=107 cur=13919 best=13774 T=31.45 evals=476779129
[n700m12E] t=25.0 iter=17532 acc=11322 impr=108 cur=13812 best=13761 T=28.46 evals=632250555
[n700m12E] t=30.0 iter=21166 acc=13644 impr=108 cur=13930 best=13761 T=25.75 evals=763068948
[n700m12E] t=35.0 iter=24875 acc=15966 impr=113 cur=13732 best=13648 T=23.31 evals=894569439
[n700m12E] t=40.0 iter=27884 acc=17814 impr=124 cur=13382 best=13343 T=21.09 evals=1002469097
[n700m12E] t=45.0 iter=32535 acc=20782 impr=124 cur=13384 best=13343 T=19.08 evals=1167664098
[n700m12E] t=50.0 iter=37195 acc=23692 impr=124 cur=13502 best=13343 T=17.27 evals=1333557877
[n700m12E] t=55.0 iter=41779 acc=26538 impr=124 cur=13396 best=13343 T=15.63 evals=1497690672
[n700m12E] t=60.1 iter=46267 acc=29294 impr=125 cur=13437 best=13335 T=14.14 evals=1657722600
[n700m12E] t=65.1 iter=50274 acc=31773 impr=125 cur=13420 best=13335 T=12.80 evals=1801375495
[n700m12E] t=70.1 iter=55089 acc=34704 impr=130 cur=13124 best=13090 T=11.58 evals=1975377503
[n700m12E] t=75.1 iter=59995 acc=37693 impr=130 cur=13090 best=13090 T=10.48 evals=2151299443
[n700m12E] t=80.1 iter=64954 acc=40675 impr=130 cur=13129 best=13090 T=9.48 evals=2329305044
[n700m12E] t=85.1 iter=69155 acc=43221 impr=130 cur=13098 best=13090 T=8.58 evals=2480719898
[n700m12E] t=90.1 iter=73700 acc=45952 impr=130 cur=13108 best=13090 T=7.77 evals=2643325832
[n700m12E] t=95.1 iter=77561 acc=48241 impr=130 cur=13108 best=13090 T=7.03 evals=2782068012
[n700m12E] t=100.1 iter=82334 acc=51106 impr=130 cur=13098 best=13090 T=6.36 evals=2953863140
[n700m12E] t=105.1 iter=86867 acc=53797 impr=130 cur=13108 best=13090 T=5.76 evals=3116406581
[n700m12E] t=110.1 iter=91759 acc=56697 impr=130 cur=13098 best=13090 T=5.21 evals=3289591101
[n700m12E] t=115.1 iter=96196 acc=59348 impr=130 cur=13090 best=13090 T=4.71 evals=3448539176
[n700m12E] t=120.1 iter=100674 acc=62011 impr=130 cur=13108 best=13090 T=4.26 evals=3610692650
[n700m12E] t=125.1 iter=105714 acc=65039 impr=130 cur=13090 best=13090 T=3.86 evals=3790021252
[n700m12E] t=130.1 iter=110212 acc=67694 impr=130 cur=13090 best=13090 T=3.49 evals=3950924364
[n700m12E] t=135.1 iter=114761 acc=70410 impr=130 cur=13090 best=13090 T=3.16 evals=4112731004
[n700m12E] t=140.1 iter=119367 acc=73149 impr=130 cur=13090 best=13090 T=2.86 evals=4276929498
[n700m12E] t=145.1 iter=123934 acc=75835 impr=130 cur=13090 best=13090 T=2.59 evals=4440599750
[n700m12E] ILS done iter=128539 best=13090 (857.1 it/s)
FINAL n700m12E cost 13090 time 150.0
